MID	Name	Description
m.01081	Apollos	
m.0109kg	Hanin Elias	Musical artist
m.010bk0	Ingvar Kamprad	Swedish business magnate
m.010g87	Lal Bahadur Shastri	Former Prime Minister of India
m.010hn	Amy Grant	American singer-songwriter
m.010hnp	Yasujirō Ozu	Japanese film director
m.010lz5	John Allen Muhammad	American serial killer
m.010ngb	Paul Wellstone	Former United States Senator
m.010p3	Adam Carolla	American radio personality
m.010p8p	Zecharia Sitchin	Author
m.010ryc	Mike Mentzer	American bodybuilder
m.010wty2t	Glen Rogers	
m.010wx	Aria Giovanni	American erotic actress
m.0112yl	Toshiro Mifune	Japanese actor
m.0114cfs7	Cutie Mui	Actress
m.01167d3z	Shin WonHo	South Korean singer
m.0116dvgh	Park Jin-young	South Korean singer
m.0116g	Andrei Sakharov	Nuclear physicist
m.011_0k	Jimmy Chamberlin	American drummer
m.011_2h	Melissa Auf der Maur	Musician
m.011_3d	Chino Moreno	American singer-songwriter
m.011_3s	Lily Tomlin	American actress
m.011_7j	Ferdinand Marcos	Former President of the Philippines
m.011_8	Alex Lifeson	Canadian musician
m.011_c4	Vivien Merchant	Actress
m.011_db	Edmund Gosse	English poet
m.011_nf	Warner Baxter	American film actor
m.011_pk	Chester Morris	American film actor
m.011_r9	Lewis Stone	American film actor
m.011_ww	Chester Bennington	American singer-songwriter
m.011_x9	Joe Hahn	American musician
m.011ct	Aron Nimzowitsch	Chess player
m.011h2_	Harry Hay	American activist
m.011h_h	Ronald Syme	Historian
m.011h_w	Hugh Trevor-Roper	Historian
m.011hdn	Alice Cooper	American singer-songwriter
m.011hjj	Carlos Ortiz	Puerto Rican professional boxer
m.011hm1	Antonia Fraser	British author
m.011hmd	Frank Pakenham, 7th Earl of Longford	British politician
m.011hmr	Elizabeth Longford	British historian
m.011hww	Alfred Brendel	Austrian pianist
m.011hz9	A. J. P. Taylor	British historian
m.011jfg	Maria Goeppert Mayer	American-German theoretical physicist
m.011jl5	Geoff Emerick	Sound engineer
m.011jlx	Lien Chan	Politician
m.011jy4	Randolph Turpin	Boxer
m.011k4g	Carl Stalling	American composer
m.011kd9	Alfred Delp	Priest
m.011l17	Claire Lee Chennault	American aviator
m.011l41	Gregory Goodwin Pincus	American biologist
m.011ld9	Sviatoslav Richter	Russian-Soviet pianist
m.011lf5	Richard Helms	Former Director of Central Intelligence
m.011lhy	Edgar Bergen	American actor
m.011lvx	Laurie Anderson	American artist
m.011m1y	Ian Hislop	British journalist
m.011m33	Oriana Fallaci	Italian journalist
m.011n46q9	Begum Aga Khan III	
m.011p3	Aung San Suu Kyi	State Counsellor of Myanmar
m.011p_b	Peter Max	American-German artist
m.011qh	Abraham Joshua Heschel	American-Polish rabbi
m.011qm2	Gordie Howe	Canadian ice hockey player
m.011rprn6	Raef Bjayou	British entrepreneur
m.011s9r	Joe Shuster	American-Canadian comic book artist
m.011s_x	Robbie Ross	Journalist
m.011sb5	Princess Christina of the Netherlands	
m.011t6	Andrzej Sapkowski	Polish writer
m.011vw3	Henryk Górecki	Polish composer
m.011vx3	Pete Seeger	American singer
m.011vz9	Arthur Honegger	Swiss composer
m.011w0l	Constantius III	
m.011w1b	María Celeste Arrarás	Broadcaster
m.011w1p	Josh Ryan Evans	American actor
m.011w20	Bill Finger	American comic book writer
m.011w7m	James Matthew Barrie	Novelist
m.011w_7	Princess Margriet of the Netherlands	
m.011xgp	Mike Dirnt	American musician
m.011xjd	Lon Chaney Jr.	American actor
m.011xl3	Peter Criss	American musician
m.011xll	Ace Frehley	American musician
m.011xr	Augustine of Canterbury	Monk
m.011y5k	Fab 5 Freddy	American visual artist
m.011y88	Ned Ludd	
m.011y_2	Libius Severus	
m.011ybj	Rupert Sheldrake	Author
m.011yx0	Massimo Troisi	Italian actor
m.011z4p	Allectus	
m.011z69	Jeff Bezos	CEO of Amazon
m.011z7j	Chang-Lin Tien	American professor
m.011zd3	Lucy Liu	American actress
m.011zf2	Yo-Yo Ma	Cellist
m.011zfk	Jerry Yang	American entrepreneur
m.011zfz	Connie Chung	American journalist
m.011zg9	Michelle Kwan	American figure skater
m.011zgs	Maxine Hong Kingston	American author
m.011zkh	Christian Morgenstern	German author
m.011zwl	Douglas Haig, 1st Earl Haig	Senior officer
m.01200d	Wallace Beery	American film actor
m.01201_	Ronald Colman	Actor
m.012034	Lawrence Tibbett	American opera singer
m.012052	Erik Estrada	American actor
m.0120mb	Norman Spinrad	American science fiction author
m.0121fw	Abe Cunningham	American musician
m.0121n2	Saint Anne	Mary's mother
m.0121rx	Jackie Gleason	American actor
m.012201	Nino Rota	Italian composer
m.012267	Gerry Cooney	American boxer
m.0122cb	Saint Mungo	Missionary
m.0122cr	H. H. Kung	Banker
m.0122lq	Robert Mundell	Canadian economist
m.0122m5	Brian Friel	Dramatist
m.01233w	George Thomas, 1st Viscount Tonypandy	Former Speaker of the House of Commons of the United Kingdom
m.01239	Amr Diab	Egyptian singer
m.0123f1	Juan Ponce de León	Former Governor of Puerto Rico
m.0123h6	Ted Bundy	American serial killer
m.0123x2	Glenn Quinn	Irish actor
m.01241v	Paramahansa Yogananda	Monk
m.0124t	Anaïs Nin	American-Cuban-French essayist
m.01257s	Thomas Hearns	American professional boxer
m.0125fd	Tera Patrick	American pornographic actress
m.0125mr	Albert II of Belgium	Former King of the Belgians
m.0125qk	Ira Levin	American novelist
m.0125zt	Vortigern	Warlord
m.0126_6	Dean Barkley	Former United States Senator
m.0126bb	Albert Ballin	German magnate
m.0126nx	Gaius Julius Civilis	
m.0126rp	Eddie Izzard	Stand-up comedian
m.0126y2	Ja Rule	American rapper
m.01270s	Lonnie Donegan	Singer
m.01271_	Alice Liddell	
m.01271h	Trent Reznor	American musician
m.012741	Wolf Vostell	German painter
m.0127fx	H. R. Haldeman	Former White House Chief of Staff
m.0127gn	Vladimir Horowitz	Classical pianist
m.0127m7	Kevin Costner	American actor
m.0127s7	Christina Aguilera	American singer-songwriter
m.0127t5	Sai Baba of Shirdi	Indian saint
m.0127tk	Sathya Sai Baba	Indian guru
m.0127zt	Carmen Dominicci	Blogger
